name,rating,genre,year,released,score,votes,director,writer,star,country,budget,gross,company,runtime
The Shining,6,6,1980,"June 13, 1980 (United States)",8.4,927000.0,Stanley Kubrick,Stephen King,Jack Nicholson,54,-0.16880037686993662,-0.18016398118123506,Warner Bros.,2.084946944331229
The Blue Lagoon,6,1,1980,"July 2, 1980 (United States)",5.8,65000.0,Randal Kleiser,Henry De Vere Stacpoole,Brooke Shields,55,-0.5445743730813344,-0.10793035985151027,Columbia Pictures,-0.17554394969011433
Star Wars: Episode V - The Empire Strikes Back,4,0,1980,"June 20, 1980 (United States)",8.7,1200000.0,Irvin Kershner,Leigh Brackett,Mark Hamill,55,-0.19471582488451578,2.814005849315623,Lucasfilm,0.9008802855581445
Airplane!,4,4,1980,"July 2, 1980 (United States)",7.7,221000.0,Jim Abrahams,Jim Abrahams,Robert Hays,55,-0.5704898210959135,0.04197079544487885,Paramount Pictures,-1.0366833378887212
Caddyshack,6,4,1980,"July 25, 1980 (United States)",7.3,108000.0,Harold Ramis,Brian Doyle-Murray,Chevy Chase,55,-0.5057012010594657,-0.223746840896519,Orion Pictures,-0.49847122026459195
Friday the 13th,6,10,1980,"May 9, 1980 (United States)",6.4,123000.0,Sean S. Cunningham,Victor Miller,Betsy Palmer,55,-0.6469403927389221,-0.22430587096279292,Paramount Pictures,-0.6599348555518307
The Blues Brothers,6,0,1980,"June 20, 1980 (United States)",7.9,188000.0,John Landis,Dan Aykroyd,John Belushi,55,0.038523207246696646,0.235597945259826,Universal Pictures,1.385271191419861
Raging Bull,6,3,1980,"December 19, 1980 (United States)",8.2,330000.0,Martin Scorsese,Jake LaMotta,Robert De Niro,55,-0.19471582488451578,-0.32394679086886025,Chartoff-Winkler Productions,1.1699863443702092
Superman II,4,0,1980,"June 19, 1981 (United States)",6.8,101000.0,Richard Lester,Jerry Siegel,Gene Hackman,55,0.7382403036403339,0.19267466339237516,Dovemead Films,1.0623439208453833
The Long Riders,6,3,1980,"May 16, 1980 (United States)",7.0,10000.0,Walter Hill,Bill Bryden,David Carradine,55,-0.40203940900114904,-0.3703010060493245,United Artists,-0.39082879673976606
Any Which Way You Can,4,0,1980,"December 17, 1980 (United States)",6.1,18000.0,Buddy Van Horn,Stanford Sherman,Clint Eastwood,55,-0.27246216892825326,-0.035819192204484325,The Malpaso Company,0.4703105914588409
The Gods Must Be Crazy,4,1,1980,"October 26, 1984 (United States)",7.3,54000.0,Jamie Uys,Jamie Uys,N!xau,44,-0.5316166490740448,-0.2835512367226772,C.A.T. Films,0.09356210912195037
Popeye,4,1,1980,"December 12, 1980 (United States)",5.3,30000.0,Robert Altman,Jules Feiffer,Robin Williams,55,-0.14288492885535745,-0.16295450416255183,Paramount Pictures,0.3626681679340151
Ordinary People,6,6,1980,"September 19, 1980 (United States)",7.7,49000.0,Robert Redford,Judith Guest,Donald Sutherland,55,-0.5057012010594657,-0.13282925299101173,Paramount Pictures,0.9008802855581445
Dressed to Kill,6,5,1980,"July 25, 1980 (United States)",7.1,37000.0,Brian De Palma,Brian De Palma,Michael Caine,55,-0.4927434770521761,-0.2721734701000711,Filmways Pictures,-0.17554394969011433
Somewhere in Time,4,6,1980,"October 3, 1980 (United States)",7.2,27000.0,Jeannot Szwarc,Richard Matheson,Christopher Reeve,55,-0.5290251042725869,-0.4073831692560641,Rastar Pictures,-0.22936516145252725
Fame,6,6,1980,"May 16, 1980 (United States)",6.6,21000.0,Alan Parker,Christopher Gore,Eddie Barth,55,-0.6611938891469407,-0.3373498997242055,Metro-Goldwyn-Mayer (MGM),1.4390924031822738
9 to 5,4,4,1980,"December 19, 1980 (United States)",6.9,29000.0,Colin Higgins,Patricia Resnick,Jane Fonda,55,-0.40203940900114904,0.16290810840344602,IPC Films,0.09356210912195037
